epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1697,5.0875,6.7311,3.8586,0,0,0,0,4.65209,4.41006,2.99631,0.069031,3.1e-05,3.1e-05
2,67.5209,4.10356,3.90834,2.65679,0,0,0,0,4.53025,5.93187,2.69504,0.0370624,6.23763e-05,6.23763e-05
3,100.693,3.06047,2.60845,2.16269,0,0,0,0,4.33608,6.38255,2.65404,0.00509312,9.3119e-05,9.3119e-05
4,137.381,2.51509,2.14726,1.84541,0.04867,0.32759,0.10728,0.03864,2.77784,3.34984,1.85983,9.703e-05,9.703e-05,9.703e-05
5,174.62,2.34464,1.97598,1.67912,0.48078,0.26544,0.21495,0.07383,2.39397,1.81203,1.66152,9.604e-05,9.604e-05,9.604e-05
6,210.798,2.23934,1.86752,1.58273,0.35287,0.30992,0.22994,0.08071,2.25924,1.82604,1.55061,9.505e-05,9.505e-05,9.505e-05
7,246.99,2.18347,1.7945,1.51224,0.31336,0.39483,0.30358,0.11107,2.16735,1.56646,1.48403,9.406e-05,9.406e-05,9.406e-05
8,283.665,2.12966,1.75242,1.46351,0.38195,0.40779,0.33623,0.12436,2.16155,1.50043,1.45495,9.307e-05,9.307e-05,9.307e-05
9,320.946,2.07251,1.67953,1.43494,0.45077,0.39369,0.36148,0.13785,2.10651,1.46169,1.41194,9.208e-05,9.208e-05,9.208e-05
10,358.014,2.04876,1.65268,1.40367,0.39016,0.44187,0.37442,0.13741,2.1379,1.48221,1.41806,9.109e-05,9.109e-05,9.109e-05
11,394.698,2.01927,1.61828,1.38567,0.40164,0.46562,0.39972,0.15822,2.01441,1.42663,1.35131,9.01e-05,9.01e-05,9.01e-05
12,431.397,1.99949,1.60245,1.3628,0.42498,0.42568,0.3888,0.15276,2.07163,1.40598,1.38507,8.911e-05,8.911e-05,8.911e-05
13,467.653,1.97607,1.56785,1.35352,0.50485,0.45453,0.41098,0.16271,2.03555,1.40689,1.34162,8.812e-05,8.812e-05,8.812e-05
14,503.907,1.9765,1.56603,1.34736,0.43963,0.48204,0.42205,0.16819,2.05528,1.40511,1.34543,8.713e-05,8.713e-05,8.713e-05
15,541.42,1.95886,1.55388,1.33686,0.4618,0.4719,0.44119,0.17724,2.01289,1.34772,1.31171,8.614e-05,8.614e-05,8.614e-05
16,578.353,1.93619,1.53268,1.31811,0.44325,0.4856,0.42686,0.18455,1.90538,1.34457,1.28486,8.515e-05,8.515e-05,8.515e-05
17,616.499,1.91598,1.5087,1.30352,0.4617,0.45875,0.42431,0.17079,2.00787,1.34183,1.30741,8.416e-05,8.416e-05,8.416e-05
18,653.212,1.902,1.49755,1.29682,0.45167,0.49731,0.44904,0.18992,1.90183,1.30814,1.26381,8.317e-05,8.317e-05,8.317e-05
19,689.657,1.88432,1.47131,1.27923,0.42428,0.49781,0.43902,0.1845,1.88216,1.3233,1.26105,8.218e-05,8.218e-05,8.218e-05
20,725.34,1.87227,1.47047,1.27708,0.46425,0.48691,0.44597,0.18638,1.88083,1.34673,1.25152,8.119e-05,8.119e-05,8.119e-05
21,763.258,1.87265,1.46262,1.27359,0.48915,0.51614,0.47597,0.21466,1.84541,1.2842,1.24237,8.02e-05,8.02e-05,8.02e-05
22,798.88,1.86587,1.46604,1.26816,0.50148,0.5229,0.49401,0.22077,1.84701,1.27248,1.22981,7.921e-05,7.921e-05,7.921e-05
23,834.491,1.84628,1.4343,1.25259,0.54456,0.51007,0.4912,0.22064,1.8274,1.26558,1.22114,7.822e-05,7.822e-05,7.822e-05
24,870.547,1.83768,1.41545,1.24573,0.52216,0.52977,0.49556,0.20937,1.90871,1.26801,1.24786,7.723e-05,7.723e-05,7.723e-05
25,906.67,1.84468,1.42209,1.25129,0.55152,0.50574,0.50167,0.21876,1.867,1.25075,1.23178,7.624e-05,7.624e-05,7.624e-05
26,942.582,1.82743,1.40483,1.24795,0.55492,0.52043,0.49385,0.22085,1.82051,1.23739,1.20799,7.525e-05,7.525e-05,7.525e-05
27,978.468,1.82443,1.38905,1.2379,0.52252,0.55062,0.51718,0.22761,1.90064,1.24939,1.22731,7.426e-05,7.426e-05,7.426e-05
28,1014.91,1.81977,1.39002,1.23867,0.53874,0.53338,0.4992,0.22822,1.78502,1.2665,1.194,7.327e-05,7.327e-05,7.327e-05
29,1051.01,1.81245,1.37944,1.23144,0.53721,0.5185,0.50741,0.22342,1.79114,1.26427,1.18713,7.228e-05,7.228e-05,7.228e-05
30,1088.2,1.79208,1.36953,1.22408,0.53768,0.5427,0.51609,0.23789,1.77046,1.27366,1.18711,7.129e-05,7.129e-05,7.129e-05
31,1124.01,1.79744,1.36267,1.22797,0.5406,0.54359,0.51781,0.24142,1.76643,1.23798,1.18532,7.03e-05,7.03e-05,7.03e-05
32,1161.44,1.79079,1.36746,1.21636,0.54098,0.53281,0.51179,0.23997,1.76316,1.25209,1.17149,6.931e-05,6.931e-05,6.931e-05
33,1197.09,1.78675,1.35221,1.2157,0.5306,0.56846,0.51899,0.24351,1.77804,1.21023,1.18668,6.832e-05,6.832e-05,6.832e-05
34,1233.72,1.78195,1.34793,1.21739,0.51936,0.58458,0.52782,0.24785,1.7331,1.18442,1.1615,6.733e-05,6.733e-05,6.733e-05
35,1269.93,1.76396,1.33277,1.20928,0.52538,0.55146,0.51359,0.23105,1.77987,1.22561,1.18029,6.634e-05,6.634e-05,6.634e-05
36,1306.64,1.76632,1.33209,1.20697,0.53072,0.54597,0.52548,0.24539,1.74861,1.21834,1.16427,6.535e-05,6.535e-05,6.535e-05
37,1343.67,1.75742,1.32231,1.20352,0.55326,0.55526,0.53876,0.24846,1.752,1.1966,1.15927,6.436e-05,6.436e-05,6.436e-05
38,1381.02,1.75413,1.32478,1.2001,0.55225,0.54203,0.53627,0.25838,1.73258,1.20275,1.15598,6.337e-05,6.337e-05,6.337e-05
39,1417.87,1.75994,1.31987,1.203,0.54886,0.56946,0.53637,0.25584,1.71227,1.17443,1.14595,6.238e-05,6.238e-05,6.238e-05
