epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0577,1.78995,1.3789,1.20911,0.5216,0.39527,0.36097,0.15055,1.99557,1.64559,1.25564,0.06931,0.00031,0.00031
2,75.705,1.84375,1.43601,1.24573,0.24145,0.45932,0.28794,0.10038,2.10064,1.98384,1.43112,0.0376238,0.000623763,0.000623763
3,111.701,1.87379,1.48098,1.25801,0.12186,0.34971,0.11585,0.03994,2.17514,2.97526,1.36975,0.00593119,0.00093119,0.00093119
4,148.932,1.87957,1.4956,1.26592,0.26748,0.42085,0.28838,0.10447,2.03979,2.16816,1.31703,0.0009703,0.0009703,0.0009703
5,185.963,1.85114,1.45587,1.24283,0.46476,0.41941,0.34046,0.13021,1.96435,1.83233,1.29644,0.0009604,0.0009604,0.0009604
6,222.813,1.82587,1.42899,1.24039,0.42547,0.42958,0.36944,0.1395,2.07349,1.73294,1.34467,0.0009505,0.0009505,0.0009505
7,260.182,1.84142,1.41858,1.23798,0.45206,0.47594,0.41991,0.17243,1.90456,1.51336,1.22158,0.0009406,0.0009406,0.0009406
8,297.327,1.80736,1.38458,1.2224,0.40053,0.52489,0.47934,0.20984,1.83823,1.48712,1.20632,0.0009307,0.0009307,0.0009307
9,334.162,1.78204,1.35754,1.2182,0.42413,0.50832,0.43824,0.19649,1.85276,1.40319,1.18581,0.0009208,0.0009208,0.0009208
10,373.246,1.7676,1.34611,1.20635,0.61901,0.52317,0.51913,0.23642,1.76846,1.28332,1.17736,0.0009109,0.0009109,0.0009109
11,411.338,1.75983,1.3495,1.19778,0.49568,0.55175,0.48398,0.21493,1.79522,1.33203,1.1908,0.000901,0.000901,0.000901
12,448.569,1.75869,1.33476,1.19303,0.50712,0.56324,0.52097,0.23557,1.75685,1.23946,1.17264,0.0008911,0.0008911,0.0008911
13,486.359,1.73979,1.298,1.19095,0.56777,0.5478,0.53808,0.24043,1.74282,1.19137,1.14574,0.0008812,0.0008812,0.0008812
14,522.475,1.73416,1.29563,1.18679,0.51202,0.55149,0.53218,0.2389,1.73099,1.22003,1.13337,0.0008713,0.0008713,0.0008713
15,559.967,1.71273,1.2888,1.18441,0.51004,0.59415,0.54817,0.2622,1.70956,1.22266,1.13237,0.0008614,0.0008614,0.0008614
16,596.318,1.72263,1.28979,1.17904,0.49965,0.57612,0.53587,0.26461,1.73428,1.27745,1.13853,0.0008515,0.0008515,0.0008515
17,634.867,1.70209,1.26827,1.17257,0.5872,0.5166,0.52867,0.23439,1.88339,1.23473,1.1717,0.0008416,0.0008416,0.0008416
18,669.078,1.69387,1.26017,1.16668,0.63721,0.54348,0.5311,0.24213,1.77556,1.27389,1.14513,0.0008317,0.0008317,0.0008317
19,705.854,1.68146,1.24818,1.15851,0.5178,0.62272,0.56787,0.27791,1.66261,1.15445,1.11886,0.0008218,0.0008218,0.0008218
20,742.266,1.67547,1.23123,1.16083,0.53188,0.58256,0.54527,0.24858,1.76406,1.17516,1.14407,0.0008119,0.0008119,0.0008119
21,778.647,1.67648,1.24614,1.15701,0.57437,0.61397,0.59287,0.29259,1.71544,1.09052,1.12606,0.000802,0.000802,0.000802
22,815.927,1.67767,1.24065,1.15788,0.56022,0.62006,0.58337,0.28041,1.74418,1.21352,1.15163,0.0007921,0.0007921,0.0007921
23,851.195,1.67003,1.22025,1.15496,0.62038,0.58229,0.59643,0.30121,1.64074,1.13444,1.10554,0.0007822,0.0007822,0.0007822
24,887.894,1.65799,1.20286,1.14907,0.59119,0.61028,0.58679,0.27046,1.76115,1.13083,1.14121,0.0007723,0.0007723,0.0007723
25,924.039,1.66629,1.22094,1.15166,0.50514,0.57395,0.52355,0.24926,1.74533,1.29316,1.1402,0.0007624,0.0007624,0.0007624
26,961.65,1.64754,1.18976,1.14846,0.73518,0.56054,0.61718,0.31592,1.64147,1.06447,1.09277,0.0007525,0.0007525,0.0007525
27,999.278,1.64511,1.18281,1.14705,0.62499,0.62171,0.61227,0.30869,1.65871,1.08532,1.11339,0.0007426,0.0007426,0.0007426
28,1037.03,1.66276,1.20702,1.15622,0.56951,0.56462,0.57247,0.28002,1.70152,1.21867,1.12687,0.0007327,0.0007327,0.0007327
29,1073.27,1.63899,1.18438,1.14094,0.6293,0.59946,0.61448,0.31435,1.62047,1.0742,1.0946,0.0007228,0.0007228,0.0007228
30,1110.4,1.6276,1.1791,1.13808,0.58109,0.60821,0.59148,0.30954,1.65576,1.27558,1.10741,0.0007129,0.0007129,0.0007129
31,1146.54,1.6209,1.17121,1.13903,0.6406,0.62835,0.64418,0.33505,1.59988,1.04382,1.08844,0.000703,0.000703,0.000703
32,1184.07,1.62677,1.16394,1.13787,0.65911,0.62283,0.63909,0.32568,1.64462,1.03898,1.10332,0.0006931,0.0006931,0.0006931
33,1221.65,1.62826,1.16222,1.13736,0.62669,0.61183,0.62906,0.33592,1.6172,1.07368,1.09312,0.0006832,0.0006832,0.0006832
34,1258.68,1.62235,1.15912,1.14266,0.62239,0.6374,0.63485,0.33627,1.5868,1.04619,1.08576,0.0006733,0.0006733,0.0006733
35,1294.82,1.62046,1.15054,1.14112,0.63874,0.62995,0.63145,0.31613,1.67049,1.08244,1.11696,0.0006634,0.0006634,0.0006634
36,1331.11,1.6142,1.15161,1.13201,0.66582,0.62053,0.65733,0.34697,1.62556,1.01115,1.09444,0.0006535,0.0006535,0.0006535
37,1366.93,1.60978,1.14327,1.13123,0.61446,0.64165,0.6292,0.32597,1.61637,1.08005,1.09147,0.0006436,0.0006436,0.0006436
38,1402.98,1.59995,1.13017,1.12481,0.62734,0.64763,0.635,0.33527,1.59801,1.02937,1.08345,0.0006337,0.0006337,0.0006337
